&#1199;	CYRILLIC SMALL LETTER STRAIGHT U	
&#1200;	CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE	
&#1201;	CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE	
&#1202;	CYRILLIC CAPITAL LETTER HA WITH DESCENDER	
&#1203;	CYRILLIC SMALL LETTER HA WITH DESCENDER	
&#1204;	CYRILLIC CAPITAL LIGATURE TE TSE	
&#1205;	CYRILLIC SMALL LIGATURE TE TSE	
&#1206;	CYRILLIC CAPITAL LETTER CHE WITH DESCENDER	
&#1207;	CYRILLIC SMALL LETTER CHE WITH DESCENDER	
&#1208;	CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE	
&#1209;	CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE	
&#1210;	CYRILLIC CAPITAL LETTER SHHA	
&#1211;	CYRILLIC SMALL LETTER SHHA	
&#1212;	CYRILLIC CAPITAL LETTER ABKHASIAN CHE	
&#1213;	CYRILLIC SMALL LETTER ABKHASIAN CHE	
&#1214;	CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER	
&#1215;	CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER	
&#1216;	CYRILLIC LETTER PALOCHKA	
&#1217;	CYRILLIC CAPITAL LETTER ZHE WITH BREVE	
&#1218;	CYRILLIC SMALL LETTER ZHE WITH BREVE	
&#1219;	CYRILLIC CAPITAL LETTER KA WITH HOOK	
&#1220;	CYRILLIC SMALL LETTER KA WITH HOOK	
&#1221;	CYRILLIC CAPITAL LETTER EL WITH TAIL	
&#1222;	CYRILLIC SMALL LETTER EL WITH TAIL	
&#1223;	CYRILLIC CAPITAL LETTER EN WITH HOOK	
&#1224;	CYRILLIC SMALL LETTER EN WITH HOOK	
&#1225;	CYRILLIC CAPITAL LETTER EN WITH TAIL	
&#1226;	CYRILLIC SMALL LETTER EN WITH TAIL	
&#1227;	CYRILLIC CAPITAL LETTER KHAKASSIAN CHE	
&#1228;	CYRILLIC SMALL LETTER KHAKASSIAN CHE	
&#1229;	CYRILLIC CAPITAL LETTER EM WITH TAIL	
&#1230;	CYRILLIC SMALL LETTER EM WITH TAIL	
&#1231;	CYRILLIC SMALL LETTER PALOCHKA	
&#1232;	CYRILLIC CAPITAL LETTER A WITH BREVE	
&#1233;	CYRILLIC SMALL LETTER A WITH BREVE	
&#1234;	CYRILLIC CAPITAL LETTER A WITH DIAERESIS	
&#1235;	CYRILLIC SMALL LETTER A WITH DIAERESIS	
&#1236;	CYRILLIC CAPITAL LIGATURE A IE	
&#1237;	CYRILLIC SMALL LIGATURE A IE	
&#1238;	CYRILLIC CAPITAL LETTER IE WITH BREVE	
&#1239;	CYRILLIC SMALL LETTER IE WITH BREVE	
&#1240;	CYRILLIC CAPITAL LETTER SCHWA	
&#1241;	CYRILLIC SMALL LETTER SCHWA	
&#1242;	CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS	
&#1243;	CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS	
&#1244;	CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS	
&#1245;	CYRILLIC SMALL LETTER ZHE WITH DIAERESIS	
&#1246;	CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS	
&#1247;	CYRILLIC SMALL LETTER ZE WITH DIAERESIS	
&#1248;	CYRILLIC CAPITAL LETTER ABKHASIAN DZE	
&#1249;	CYRILLIC SMALL LETTER ABKHASIAN DZE	
&#1250;	CYRILLIC CAPITAL LETTER I WITH MACRON	
&#1251;	CYRILLIC SMALL LETTER I WITH MACRON	
&#1252;	CYRILLIC CAPITAL LETTER I WITH DIAERESIS	
&#1253;	CYRILLIC SMALL LETTER I WITH DIAERESIS	
&#1254;	CYRILLIC CAPITAL LETTER O WITH DIAERESIS	
&#1255;	CYRILLIC SMALL LETTER O WITH DIAERESIS	
&#1256;	CYRILLIC CAPITAL LETTER BARRED O	
&#1257;	CYRILLIC SMALL LETTER BARRED O	
&#1258;	CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS	
&#1259;	CYRILLIC SMALL LETTER BARRED O WITH DIAERESIS	
&#1260;	CYRILLIC CAPITAL LETTER E WITH DIAERESIS	
&#1261;	CYRILLIC SMALL LETTER E WITH DIAERESIS	
&#1262;	CYRILLIC CAPITAL LETTER U WITH MACRON	
&#1263;	CYRILLIC SMALL LETTER U WITH MACRON	
&#1264;	CYRILLIC CAPITAL LETTER U WITH DIAERESIS	
&#1265;	CYRILLIC SMALL LETTER U WITH DIAERESIS	
&#1266;	CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE	
&#1267;	CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE	
&#1268;	CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS	
